127.0.0.1 - - [01/Sep/2020:12:02:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=2 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=1 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=0 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/board?mode=insert&boardCon=ad&boardId=a&pageNum=1 HTTP/1.1" 200 9286
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=9 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=8 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=7 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=5 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=6 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=4 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=3 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=2 HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [01/Sep/2020:12:02:31 +0900] "GET /ajax/review?mode=select&reviewCon=&reviewId=a&boardNum=1 HTTP/1.1" 200 151
